24842|3ed7a07e-0245-41a0-a598-9bf12254da02|pending|observation|0|2026-01-30 08:00:19||active|local-agent
24809|4ea76f31-6f5d-4a76-a4f3-93bbeac1f0fe|pending|observation|0|2026-01-30 07:56:16||active|
24790|3ed7a07e-0245-41a0-a598-9bf12254da02|pending|observation|0|2026-01-30 07:35:38||active|local-agent
24789|3ed7a07e-0245-41a0-a598-9bf12254da02|pending|observation|0|2026-01-30 07:31:24||active|local-agent
24788|3ed7a07e-0245-41a0-a598-9bf12254da02|pending|observation|0|2026-01-30 07:30:20||active|local-agent
24787|3ed7a07e-0245-41a0-a598-9bf12254da02|pending|observation|0|2026-01-30 07:29:27||active|local-agent
24786|3ed7a07e-0245-41a0-a598-9bf12254da02|pending|observation|0|2026-01-30 07:27:20||active|local-agent
24785|4ea76f31-6f5d-4a76-a4f3-93bbeac1f0fe|pending|observation|0|2026-01-30 07:09:47||active|
24784|4ea76f31-6f5d-4a76-a4f3-93bbeac1f0fe|pending|summarize|0|2026-01-30 07:09:38||active|
24783|4ea76f31-6f5d-4a76-a4f3-93bbeac1f0fe|pending|observation|0|2026-01-30 06:44:39||active|
24758|3ed7a07e-0245-41a0-a598-9bf12254da02|pending|observation|0|2026-01-30 06:44:02||active|local-agent
24754|3ed7a07e-0245-41a0-a598-9bf12254da02|pending|observation|0|2026-01-30 06:41:42||active|local-agent
24751|3ed7a07e-0245-41a0-a598-9bf12254da02|pending|observation|0|2026-01-30 06:04:14||active|local-agent
24750|3ed7a07e-0245-41a0-a598-9bf12254da02|pending|summarize|0|2026-01-30 04:58:14||active|local-agent
24749|3ed7a07e-0245-41a0-a598-9bf12254da02|pending|observation|0|2026-01-30 04:28:35||active|local-agent
24745|a781f4e0-d702-42c5-b06c-d6f6ec3ea2a4|pending|observation|0|2026-01-30 04:26:17||active|mandate-monorepo
24689|a781f4e0-d702-42c5-b06c-d6f6ec3ea2a4|pending|observation|0|2026-01-30 04:01:16||active|mandate-monorepo
24687|a781f4e0-d702-42c5-b06c-d6f6ec3ea2a4|pending|observation|0|2026-01-30 03:22:53||active|mandate-monorepo
24686|a781f4e0-d702-42c5-b06c-d6f6ec3ea2a4|pending|observation|0|2026-01-30 01:29:09||active|mandate-monorepo
24685|a781f4e0-d702-42c5-b06c-d6f6ec3ea2a4|pending|summarize|0|2026-01-30 01:26:59||active|mandate-monorepo
24684|a781f4e0-d702-42c5-b06c-d6f6ec3ea2a4|pending|observation|0|2026-01-30 01:26:33||active|mandate-monorepo
24683|332d8c94-a8bb-42c7-a902-fa92805cc782|pending|observation|0|2026-01-30 01:20:07||active|local-agent
24682|a781f4e0-d702-42c5-b06c-d6f6ec3ea2a4|pending|observation|0|2026-01-30 01:13:12||active|mandate-monorepo
24634|332d8c94-a8bb-42c7-a902-fa92805cc782|pending|observation|0|2026-01-30 01:01:29||active|local-agent
24547|332d8c94-a8bb-42c7-a902-fa92805cc782|pending|observation|0|2026-01-30 00:37:11||active|local-agent
24447|332d8c94-a8bb-42c7-a902-fa92805cc782|pending|observation|0|2026-01-29 23:52:23||active|local-agent
24446|332d8c94-a8bb-42c7-a902-fa92805cc782|pending|observation|0|2026-01-29 06:05:32||active|local-agent
24445|332d8c94-a8bb-42c7-a902-fa92805cc782|pending|observation|0|2026-01-29 04:58:36||active|local-agent
24444|332d8c94-a8bb-42c7-a902-fa92805cc782|pending|observation|0|2026-01-29 04:56:34||active|local-agent
24443|332d8c94-a8bb-42c7-a902-fa92805cc782|pending|observation|0|2026-01-29 04:49:40||active|local-agent
24442|332d8c94-a8bb-42c7-a902-fa92805cc782|pending|observation|0|2026-01-29 04:40:55||active|local-agent
24441|332d8c94-a8bb-42c7-a902-fa92805cc782|pending|observation|0|2026-01-29 03:41:11||active|local-agent
24440|332d8c94-a8bb-42c7-a902-fa92805cc782|pending|summarize|0|2026-01-29 03:15:29||active|local-agent
24439|332d8c94-a8bb-42c7-a902-fa92805cc782|pending|observation|0|2026-01-29 02:44:17||active|local-agent
24438|332d8c94-a8bb-42c7-a902-fa92805cc782|pending|observation|0|2026-01-29 00:40:01||active|local-agent
24437|332d8c94-a8bb-42c7-a902-fa92805cc782|pending|observation|0|2026-01-29 00:37:24||active|local-agent
